personId,name,rank,match_personId,match_name,match_team,match_pos,dist
2413907,E. Bell,10,2486580,J. Canty,HYM,C,18.7
2413907,E. Bell,11,2096885,A. Peña,WEL,PF,21.8
2413907,E. Bell,12,2074488,M. Benitez,UUN,PF,21.9
571401,X. Couste,1,16857,G. Iglesias,BIG,PF,18.0
571401,X. Couste,2,17677,B. Barrera,CNF,F,24.6
571401,X. Couste,3,16807,A. Lopez,UAT,SG,24.8
571401,X. Couste,4,1981004,D. Wright,DSC,PF,25.3
571401,X. Couste,5,968070,G. Souza,UAT,F,26.7
571401,X. Couste,6,983931,T. Leites,COR,F,27.9
571401,X. Couste,7,2534733,R. Abell,MAL,G,28.1
571401,X. Couste,8,2534746,E. Demers,UUN,G,29.4
571401,X. Couste,9,2486578,A. Nation,HYM,G,29.8
571401,X. Couste,10,16715,B. Garcia,BIG,PG,30.6
571401,X. Couste,11,15257,F. Medina,COR,G,30.8
571401,X. Couste,12,16717,G. Semiglia,HYM,F,30.8
2178363,E. Romero,1,2413907,E. Bell,CNF,PF,12.3
2178363,E. Romero,2,1645560,N. Martinez,MAL,PF,17.2
2178363,E. Romero,3,1314626,L. Santos,AGU,C,18.3
2178363,E. Romero,4,17554,A. Zuvich,AGU,C,18.3
2178363,E. Romero,5,1924909,F. Hassell,BIG,C,18.8
2178363,E. Romero,6,2261706,S. Conceicao,GOE,C,19.8
2178363,E. Romero,7,2620318,J. O'neal,COR,F,19.9
2178363,E. Romero,8,1975797,A. Ibarguen,CAP,PF,20.3
2178363,E. Romero,9,999249,M. Bianchi,DSC,PF,21.6
2178363,E. Romero,10,2074488,M. Benitez,UUN,PF,21.8
2178363,E. Romero,11,1314581,R. Previatti,WEL,PF,22.2
2178363,E. Romero,12,2486591,Q. Wilson,UAT,PF,22.6
16807,A. Lopez,1,16857,G. Iglesias,BIG,PF,18.2
16807,A. Lopez,2,17571,F. Pereiras,AGU,PG,19.3
16807,A. Lopez,3,1676246,N. Lema,CAP,PG,20.9
16807,A. Lopez,4,17677,B. Barrera,CNF,F,21.2
16807,A. Lopez,5,1981004,D. Wright,DSC,PF,21.8
16807,A. Lopez,6,17046,M. Zubiaurre,DSC,G,21.9
16807,A. Lopez,7,16717,G. Semiglia,HYM,F,22.2
16807,A. Lopez,8,968070,G. Souza,UAT,F,22.2
16807,A. Lopez,9,15216,E. Gonzalez,COR,F,22.8
16807,A. Lopez,10,1642412,S. Hogan,CAP,F,23.4
16807,A. Lopez,11,16511,S. Moglia,WEL,F,23.7
16807,A. Lopez,12,62685,S. Massa,UUN,F,23.9
1567203,M. Oyenard,1,17046,M. Zubiaurre,DSC,G,14.5
1567203,M. Oyenard,2,17691,E. Serres,CAP,F,17.5
1567203,M. Oyenard,3,2534741,T. Prince,UAT,F,18.1
1567203,M. Oyenard,4,191795,S. Ottonello,BIG,PF,18.7
1567203,M. Oyenard,5,727814,I. Xavier,HYM,F,19.2
1567203,M. Oyenard,6,1314581,R. Previatti,WEL,PF,20.4
1567203,M. Oyenard,7,2394559,D. Zekovic,MAL,C,21.1
1567203,M. Oyenard,8,2486578,A. Nation,HYM,G,21.3
1567203,M. Oyenard,9,2074488,M. Benitez,UUN,PF,23.5
1567203,M. Oyenard,10,16807,A. Lopez,UAT,SG,24.2
1567203,M. Oyenard,11,2486591,Q. Wilson,UAT,PF,24.2
1567203,M. Oyenard,12,17044,F. Verrone,GOE,PF,24.3
1989296,T. Rodriguez,1,1334179,F. Garcia,WEL,G,16.6
1989296,T. Rodriguez,2,2534738,I. Ross,UAT,G,17.4
1989296,T. Rodriguez,3,1338848,M. Giano,UAT,PG,18.2
1989296,T. Rodriguez,4,2399946,J. Webster,MAL,PG,18.2
1989296,T. Rodriguez,5,16717,G. Semiglia,HYM,F,19.6
1989296,T. Rodriguez,6,16177,M. Romero,MAL,G,21.7
1989296,T. Rodriguez,7,2534734,J. Cruz,MAL,F,21.7
1989296,T. Rodriguez,8,16511,S. Moglia,WEL,F,22.0
1989296,T. Rodriguez,9,15251,L. Parodi,CNF,G,22.5
1989296,T. Rodriguez,10,1346396,S. Fernandez,MAL,G,23.8
1989296,T. Rodriguez,11,2589974,E. Weaver,DSC,G,24.2
1989296,T. Rodriguez,12,961332,E. Bonet,GOE,PG,24.3
17677,B. Barrera,1,2620614,A. Spruill,COR,G,14.6
17677,B. Barrera,2,16857,G. Iglesias,BIG,PF,18.0
17677,B. Barrera,3,2486578,A. Nation,HYM,G,19.6
17677,B. Barrera,4,1709203,E. Holt,UUN,PF,19.7
17677,B. Barrera,5,15216,E. Gonzalez,COR,F,20.9
17677,B. Barrera,6,17691,E. Serres,CAP,F,21.1
17677,B. Barrera,7,16807,A. Lopez,UAT,SG,21.2
17677,B. Barrera,8,2534734,J. Cruz,MAL,F,23.2
17677,B. Barrera,9,727814,I. Xavier,HYM,F,23.2
17677,B. Barrera,10,16717,G. Semiglia,HYM,F,24.4
17677,B. Barrera,11,571401,X. Couste,GOE,F,24.6
17677,B. Barrera,12,17046,M. Zubiaurre,DSC,G,25.5
2074488,M. Benitez,1,2620318,J. O'neal,COR,F,17.1
