personId,name,team,pos,MIN,GP,TS%,TS%_pct,eFG%,eFG%_pct,FTr,FTr_pct,AST/TO,AST/TO_pct,PTS36,PTS36_pct,REB36,REB36_pct,OREB36,OREB36_pct,DREB36,DREB36_pct,AST36,AST36_pct,STL36,STL36_pct,BLK36,BLK36_pct,TOV36,TOV36_pct,USG%,USG%_pct,AST%,AST%_pct,REB%,REB%_pct,OREB%,OREB%_pct,DREB%,DREB%_pct,STL%,STL%_pct,BLK%,BLK%_pct
1642407,D. Pena Garcia,WEL,F,355.8,20,50.0,21.6,47.7,28.4,18.2,20.3,1.64,63.1,9.61,8.6,4.76,35.6,0.2,2.3,4.55,55.4,2.33,43.2,0.81,16.7,0.0,6.8,1.42,19.4,14.2,11.3,10.6,39.2,6.7,31.1,0.6,2.3,13.0,54.1,1.1,14.9,0.0,6.8
968070,G. Souza,UAT,F,321.7,13,54.8,45.0,54.3,59.9,15.9,12.2,1.88,71.6,9.06,7.7,3.69,14.9,0.9,23.9,2.8,15.8,1.68,19.4,0.78,14.9,0.22,41.9,0.9,3.2,11.9,4.5,7.5,18.9,5.1,13.5,2.7,27.0,7.2,9.9,1.1,14.9,0.6,40.5
17379,P. Rusch,COR,G,510.4,22,56.4,54.5,52.2,39.2,31.9,59.9,1.55,56.3,8.25,6.8,4.87,37.8,0.78,15.8,4.09,42.8,5.57,87.8,1.69,77.0,0.07,17.1,3.6,92.3,13.1,5.9,23.2,85.1,6.8,34.2,2.1,15.8,11.7,44.1,2.3,71.2,0.2,17.6
1676246,N. Lema,CAP,PG,273.1,15,54.8,45.0,54.7,64.4,11.3,5.9,1.89,72.5,8.04,5.9,5.01,40.1,1.45,46.8,3.56,33.8,2.24,39.6,1.32,53.2,0.13,25.2,1.19,10.8,10.6,1.4,8.7,26.6,7.1,39.6,4.4,51.4,9.4,25.7,1.9,53.6,0.4,28.4
1645559,J. Stoll,WEL,G,296.2,22,46.8,8.6,41.4,3.2,44.8,86.5,1.22,43.2,7.9,5.0,4.74,34.7,0.97,27.9,3.77,38.7,4.74,82.4,2.19,89.2,0.0,6.8,3.89,96.8,15.5,17.1,20.0,77.0,6.7,31.1,2.8,28.8,10.4,35.6,2.9,86.0,0.0,6.8
16715,B. Garcia,BIG,PG,383.9,20,47.4,11.3,45.1,15.8,9.8,5.0,1.5,53.6,7.6,4.1,3.66,13.1,0.84,19.8,2.81,16.7,1.41,11.3,0.47,5.0,0.09,21.2,0.94,4.1,11.9,4.5,6.6,10.4,5.3,15.8,2.4,19.8,8.3,18.9,0.7,5.0,0.3,22.1
623893,L. Planells,COR,G,208.3,14,42.6,2.3,42.0,4.5,9.1,2.3,3.17,96.8,6.74,3.2,3.46,11.3,1.21,39.2,2.25,5.0,6.57,91.4,1.38,57.2,0.17,34.7,2.07,48.2,11.8,3.2,25.5,89.6,4.7,9.5,3.2,35.1,6.4,5.9,1.9,53.6,0.5,36.5
17488,K. Wachsman,MAL,PF,556.5,22,54.4,42.8,48.6,31.1,77.1,98.6,0.8,13.1,6.6,2.3,10.74,94.1,3.75,91.4,6.99,89.6,1.29,6.8,0.84,17.6,0.65,70.7,1.62,27.5,9.8,0.5,5.4,5.9,15.0,91.4,10.6,91.4,19.5,86.0,1.2,18.9,1.9,73.9
16739,G. Barrera,WEL,G,476.3,20,40.8,1.4,37.2,0.5,16.0,13.1,2.04,81.5,6.2,1.4,3.17,6.8,0.15,0.9,3.02,21.2,7.26,95.0,1.66,73.0,0.38,54.5,3.55,90.5,14.3,12.2,30.5,95.9,4.5,7.7,0.5,1.4,8.0,14.4,2.3,71.2,1.0,53.6
17071,F. Bavosi,CAP,G,284.0,20,42.7,3.2,42.0,4.5,12.0,6.8,1.95,75.7,5.7,0.5,4.56,28.4,1.14,34.7,3.42,31.1,4.69,79.7,1.27,49.1,0.13,25.2,2.41,57.7,11.4,2.3,18.9,72.5,6.8,34.2,3.6,41.4,9.9,32.9,1.8,49.1,0.4,28.4
